1.0.1;Feb 17, 2023
1.0.0;Feb 6, 2023
0.991;Nov 14, 2022
0.990;Nov 7, 2022
0.982;Oct 3, 2022
0.981;Sep 26, 2022
0.971;Jul 19, 2022
0.961;Jun 6, 2022
0.960;May 25, 2022
0.950;Apr 27, 2022
0.942;Mar 24, 2022
0.941;Mar 14, 2022
0.940;Mar 11, 2022
0.931;Jan 7, 2022
0.930;Dec 22, 2021
0.921;Dec 21, 2021
0.920;Dec 16, 2021
0.910;Jun 22, 2021
0.902;Jun 10, 2021
0.901;Jun 9, 2021
0.900;Jun 8, 2021
0.812;Feb 19, 2021
0.800;Jan 22, 2021
0.790;Oct 9, 2020
0.782;Jun 23, 2020
0.781;Jun 19, 2020
0.780;Jun 3, 2020
0.770;Mar 11, 2020
0.761;Dec 19, 2019
0.760;Dec 17, 2019
0.750;Nov 29, 2019
0.740;Oct 17, 2019
0.730;Sep 26, 2019
0.720;Jul 12, 2019
0.711;Jun 24, 2019
0.710;Jun 20, 2019
0.701;Apr 16, 2019
0.700;Apr 3, 2019
0.670;Feb 8, 2019
0.660;Jan 17, 2019
0.650;Dec 7, 2018
0.641;Oct 15, 2018
0.630;Sep 17, 2018
0.620;Jul 13, 2018
0.610;Jun 8, 2018
0.600;May 2, 2018
0.590;Apr 13, 2018
0.580;Mar 23, 2018
0.570;Mar 2, 2018
0.560;Dec 15, 2017
0.550;Nov 10, 2017
0.540;Oct 20, 2017
0.530;Oct 6, 2017
0.521;Jul 24, 2017
0.520;Jul 10, 2017
0.511;May 9, 2017
0.510;May 5, 2017
0.501;Mar 2, 2017
0.500;Mar 2, 2017
0.471;Feb 10, 2017
0.470;Jan 13, 2017
0.256;Mar 9, 2011
0.255;May 31, 2010
0.254;Nov 27, 2009
0.253;Nov 26, 2009
0.252;Nov 11, 2009
0.251;Nov 11, 2009
0.250;Nov 8, 2009
0.241;Nov 8, 2009
0.240;Nov 8, 2009
0.239;Nov 8, 2009
0.238;Nov 8, 2009
0.237;Nov 8, 2009
0.236;Oct 25, 2009
0.235;Oct 14, 2009
0.234;Oct 14, 2009
0.233;Oct 14, 2009
0.232;Oct 14, 2009
0.231;Oct 9, 2009
0.230;Oct 8, 2009
0.229;Oct 8, 2009
0.228;Sep 28, 2009
0.227;Sep 28, 2009
0.226;Sep 27, 2009
0.225;Sep 27, 2009
0.224;Sep 26, 2009
0.223;Sep 26, 2009
0.222;Sep 26, 2009
0.221;Sep 26, 2009
0.21;Sep 23, 2009
0.20;Sep 23, 2009
0.19;Sep 21, 2009
0.18;Sep 21, 2009
0.17;Sep 19, 2009
0.16;Sep 17, 2009
0.15;Sep 17, 2009
0.14;Sep 16, 2009
0.13;Sep 11, 2009
0.12;Sep 10, 2009
0.11;Sep 10, 2009
0.1;Sep 8, 2009
